ID,Name of Item,Pickup,Quality,Description,Type,Item Pool
ItemID: 1,The Sad Onion,"""Tears up""",Quality: 3,+0.7 Tears Up,Type: Passive,Item Pool: Item Room
ItemID: 2,The Inner Eye,"""Triple shot""",Quality: 2,Tears now shoot three at a time (Triple Shot),"Type: Passive, Tear Modifier",Item Pool: Item Room
ItemID: 3,Spoon Bender,"""Homing shots""",Quality: 3,Gives Isaac's tears a homing effect,Type: Passive,Item Pool: Item Room
ItemID: 4,Cricket's Head,"""DMG up""",Quality: 4,+0.5 Damage Up,Type: Passive,Item Pool: Item Room
ItemID: 5,My Reflection,"""Boomerang tears""",Quality: 0,Gives tears a boomerang effect,"Type: Passive, Tear Modifier",Item Pool: Item Room
ItemID: 6,Number One,"""Tears up""",Quality: 2,Gives you a very high tear rate in exchange for a big range down,Type: Passive,Item Pool: Item Room
ItemID: 7,Blood of the Martyr,"""DMG up""",Quality: 3,+1.0 Damage Up,Type: Passive,"Item Pool: Item Room, Angel Room"
ItemID: 8,Brother Bobby,"""Friends 'till the end""",Quality: 1,A familiar which follows Isaac and shoots normal tears which do 3.5 damage,"Type: Passive, Familiar","Item Pool: Item Room, Devil Room"
ItemID: 9,Skatole,"""Fly love""",Quality: 0,A lot of fly enemies are no longer aggressive towards Isaac,Type: Passive,Item Pool: Arcade Shell Game
ItemID: 10,Halo of Flies,"""Projectile protection""",Quality: 2,Gives Isaac 2 orbital flies which block enemy shots,"Type: Passive, Orbital","Item Pool: Item Room, Key Beggar"
ItemID: 11,1UP,"""Extra life""",Quality: 2,Gives the player an extra life,Type: Passive,Item Pool: Secret Room
ItemID: 12,Magic Mushroom,"""All stats up!""",Quality: 4,+1 HP Up,Type: Passive,"Item Pool: Item Room, Mushrooms"
ItemID: 13,The Virus,"""Poison touch""",Quality: 2,"Enemies touching you take 12 damage, then a poison effect is applied for 6-7 ticks, dealing damage equal to the amount of red hearts you have (up to 30.8 at 12 full red hearts)",Type: Passive,"Item Pool: Item Room, Demon Beggar, Lust Miniboss"
ItemID: 14,Roid Rage,"""Speed and range up""",Quality: 2,+0.3 Speed Up,Type: Passive,"Item Pool: Item Room, Boss Room, Demon Beggar"
ItemID: 15,<3,"""HP up""",Quality: 2,+1 HP Up,Type: Passive,"Item Pool: Item Room, Gluttony Miniboss"
ItemID: 16,Raw Liver,"""HP up""",Quality: 2,+2 Health Up,Type: Passive,Item Pool: Secret Room
ItemID: 17,Skeleton Key,"""99 keys""",Quality: 3,Gives Isaac 99 Keys,Type: Passive,"Item Pool: Item Room, Secret Room"
ItemID: 18,A Dollar,"""$$$""",Quality: 3,Gives Isaac 100 coins,Type: Passive,Item Pool: Arcade Machine
ItemID: 19,Boom!,"""10 bombs""",Quality: 0,+10 Bombs,Type: Passive,Item Pool: Item Room
ItemID: 20,Transcendence,"""We all float down here...""",Quality: 3,Gives Isaac the ability to fly,Type: Passive,Item Pool: Secret Room
ItemID: 21,The Compass,"""The end is near""",Quality: 2,"Shows most icons on the map (Shops, Item Rooms, Boss Rooms etc.)",Type: Passive,"Item Pool: Shop, Beggar"
ItemID: 22,Lunch,"""HP up""",Quality: 1,+1 HP Up,Type: Passive,"Item Pool: Boss Room, Challenge Room, Beggar"
ItemID: 23,Dinner,"""HP up""",Quality: 1,+1 HP Up,Type: Passive,"Item Pool: Boss Room, Beggar, Challenge Room"
ItemID: 24,Dessert,"""HP up""",Quality: 1,+1 HP Up,Type: Passive,"Item Pool: Boss Room, Beggar, Challenge Room"
ItemID: 25,Breakfast,"""HP up""",Quality: 1,+1 HP Up,Type: Passive,"Item Pool: Boss Room, Challenge Room, Beggar"
ItemID: 26,Rotten Meat,"""HP up""",Quality: 1,+1 HP Up,Type: Passive,"Item Pool: Boss Room, Beggar, Challenge Room"
ItemID: 27,Wooden Spoon,"""Speed up""",Quality: 1,+0.3 Speed Up,Type: Passive,Item Pool: Boss Room
ItemID: 28,The Belt,"""Speed up""",Quality: 1,+0.3 Speed Up,Type: Passive,"Item Pool: Boss Room, Gold/Stone Chest"
ItemID: 29,Mom's Underwear,"""Range Up""",Quality: 1,+1.5 Range Up,Type: Passive,"Item Pool: Boss Room, Challenge Room, Gold/Stone Chest"
ItemID: 30,Mom's Heels,"""Range up""",Quality: 1,+1.5 Range Up,Type: Passive,"Item Pool: Boss Room, Challenge Room"
ItemID: 31,Mom's Lipstick,"""Range up""",Quality: 1,+2.25 Range Up,Type: Passive,"Item Pool: Boss Room, Challenge Room"
ItemID: 32,Wire Coat Hanger,"""Tears up""",Quality: 3,+0.7 Tears Up,Type: Passive,"Item Pool: Boss Room, Gold/Stone Chest"
ItemID: 33,The Bible,"""Temporary flight""",Quality: 1,"Gives Isaac angel wings for the current room, allowing him to fly",Type: Active,"Item Pool: Shop, Library, Angel Room"
ItemID: 34,The Book of Belial,"""Temporary DMG up""",Quality: 3,"Upon use, gives +2 damage up which lasts for the current room",Type: Active,"Item Pool: Library, Devil Room"
ItemID: 35,The Necronomicon,"""Mass room damage""",Quality: 1,Deals 40 damage to everything in the room when used,Type: Active,"Item Pool: Library, Secret Room, Devil Room"
ItemID: 36,The Poop,"""Plop!""",Quality: 0,Drops a poop on the floor,Type: Active,Item Pool: Item Room
ItemID: 37,Mr. Boom,"""Reusable bomb buddy""",Quality: 1,Drops a large bomb below the player which does 185 damage,Type: Active,"Item Pool: Item Room, Wrath Miniboss, Bomb Beggar"
ItemID: 38,Tammy's Head,"""Reusable tear burst""",Quality: 3,Fires 10 tears in a circle around Isaac,Type: Active,"Item Pool: Item Room, Gold Chest"
ItemID: 39,Mom's Bra,"""Mass fear""",Quality: 1,"When used, freezes all enemies in the current room for about 4 seconds",Type: Active,"Item Pool: Item Room, Challenge Room"
ItemID: 40,Kamikaze,"""Become the bomb!""",Quality: 0,Causes an explosion near Isaac which takes away half a heart and does 40 damage all enemies in close proximity,Type: Active,Item Pool: Item Room
ItemID: 41,Mom's Pad,"""Gross...""",Quality: 0,"When used, causes all enemies in the current room to run away from Isaac in fear for 5 seconds",Type: Active,"Item Pool: Item Room, Challenge Room"
